FQDN System Name,IP Address,Network,Network Range,Broadcast Address,VLAN,VLAN number,Logical Net,Logical Interface,Network Scope,TOR switch used
galaxyz1.main.z1.tdn.hzl.ilx.com,10.181.192.27/23,MAIN,10.181.192.0/23,10.181.193.255,HZLP-93COLO-TDNH1-A-MAIN-1,2202,PROD,PROD,Business Site,YES
galaxyz1.out.z1.tdn.hzl.ilx.com,10.53.22.27/23,OUT,10.53.22.0/23,10.53.23.255,HZLP-93COLO-TDNH1-A-JUMBO-1,2201,PROD,PROD,Business Site,YES
greenz1.a.arbi10.z1.tdn.hzl.ilx.com,10.179.4.198/27,A.ARBI10,10.179.4.192/27,10.179.4.223,HZL-COLO-MCE1-ARBI1-2,1702,ARBI10,ARBI10,Business Silo,
greenz1.filer.z1.tdn.hzl.ilx.com,10.181.194.20/24,FILER,10.181.194.0/24,10.181.194.255,HZLP-93COLO-TDNH1-A-STORAGE-1,2203,PROD,PROD,Business Site,YES
greenz1.gtdl.z1.tdn.hzl.ilx.com,10.179.3.15/26,GTDL,10.179.3.0/26,10.179.3.63,HZL-COLO-MCE1-GTDL-1,1802,GTDL,GTDL,Business Site,
greenz1.idcm.z1.tdn.hzl.ilx.com,10.179.0.29/23,IDCM,10.179.0.0/23,10.179.1.255,HZL-COLO-MCE1-IDCM-1,2209,PROD,PROD,Business Site,YES
greenz1.log.z1.tdn.hzl.ilx.com,10.179.3.72/26,LOG,10.179.3.64/26,10.179.3.127,HZL-COLO-MCE1-LOG1-1,1803,LOG,LOG,Business Silo,
greenz1.main.z1.tdn.hzl.ilx.com,10.181.192.29/23,MAIN,10.181.192.0/23,10.181.193.255,HZLP-93COLO-TDNH1-A-MAIN-1,2202,PROD,PROD,Business Site,YES
greenz1.out.z1.tdn.hzl.ilx.com,10.53.22.29/23,OUT,10.53.22.0/23,10.53.23.255,HZLP-93COLO-TDNH1-A-JUMBO-1,2201,PROD,PROD,Business Site,YES
greenz1.tpfun.z1.tdn.hzl.ilx.com,10.179.3.203/26,TPFUN,10.179.3.192/26,10.179.3.255,HZL-COLO-MCE1-TPFUN-1,1805,TPFUN,TPFUN,Business Site,
gsmrepz1.host.z1.tdn.hzl.ilx.com,10.53.26.33/27,HOST,10.53.26.32/27,10.53.26.63,HZLP-93COLO-TDNH1-A-HOST-1,2241,HOST,HOST,Business Site,YES
gsmrepz1.hostrep.z1.tdn.hzl.ilx.com,10.53.26.97/27,HOSTREP,10.53.26.96/27,10.53.26.127,HZLP-93COLO-TDNH1-A-HOSTREP-1,2243,HOST,HOST,Business Site,YES
gsmwebprod01z.webhost.z1.tdn.hzl.ilx.com,10.53.26.65/27,WEBHOST,10.53.26.64/27,10.53.26.95,HZLP-93COLO-TDNM1-A-HOSTWEB-1,2242,WEBHOST,WEBHOST,Business Site,YES
icqfepz1.idmz.z1.tdn.hzl.ilx.com,10.53.26.1/27,IDMZ,10.53.26.0/27,10.53.26.31,HZLP-93COLO-TDNI1-A-NONJBO-1,2220,IDMZ,IDMZ,Business Site,YES
ilxftz1.idcm.z1.tdn.hzl.ilx.com,10.179.0.31/23,IDCM,10.179.0.0/23,10.179.1.255,HZL-COLO-MCE1-IDCM-1,2209,PROD,CHASSIS,Business Site,YES
ilxftz1.main.z1.tdn.hzl.ilx.com,10.181.192.31/23,MAIN,10.181.192.0/23,10.181.193.255,HZLP-93COLO-TDNH1-A-MAIN-1,2202,PROD,CHASSIS,Business Site,YES
ilxftz1.out.z1.tdn.hzl.ilx.com,10.53.22.31/23,OUT,10.53.22.0/23,10.53.23.255,HZLP-93COLO-TDNH1-A-JUMBO-1,2201,PROD,CHASSIS,Business Site,YES
incaserverz1.hyper.z1.tdn.hzl.ilx.com,10.53.21.15/24,HYPER,10.53.21.0/24,10.53.21.255,HZLP-93COLO-TDNH1-A-HYPER-1,2200,HYPER,PRODHYPER,Business Site,YES
itcfepcz1a.hyper.z1.tdn.hzl.ilx.com,10.53.21.17/24,HYPER,10.53.21.0/24,10.53.21.255,HZLP-93COLO-TDNH1-A-HYPER-1,2200,HYPER,PRODHYPER,Business Site,YES
itcfepcz1b.hyper.z1.tdn.hzl.ilx.com,10.53.21.18/24,HYPER,10.53.21.0/24,10.53.21.255,HZLP-93COLO-TDNH1-A-HYPER-1,2200,HYPER,PRODHYPER,Business Site,YES
jetsonz1.hyper.z1.tdn.hzl.ilx.com,10.53.21.21/24,HYPER,10.53.21.0/24,10.53.21.255,HZLP-93COLO-TDNH1-A-HYPER-1,2200,HYPER,WEBHYPER,Business Site,YES
marketz1.a.livetkr.z1.tdn.hzl.ilx.com,10.179.4.69/27,A.LIVETKR,10.179.4.64/27,10.179.4.95,HZL-COLO-MCE1-LIVETKR1-1,1511,TKR,TKR,Business Site,
