FQDN System Name,IP Address,Network,Network Range,Broadcast Address,VLAN,VLAN number,Logical Net,Logical Interface,Network Scope,TOR switch used
fairwayz2.filer.z2.tdn.hzl.ilx.com,10.181.194.15/24,FILER,10.181.194.0/24,10.181.194.255,HZLP-93COLO-TDNH1-A-STORAGE-1,2203,PROD,PROD,Business Site,YES
fairwayz2.gtdl.z2.tdn.hzl.ilx.com,10.179.3.12/26,GTDL,10.179.3.0/26,10.179.3.63,HZL-COLO-MCE1-GTDL-1,1802,GTDL,GTDL,Business Site,
fairwayz2.idcm.z2.tdn.hzl.ilx.com,10.179.0.24/23,IDCM,10.179.0.0/23,10.179.1.255,HZL-COLO-MCE1-IDCM-1,2209,PROD,PROD,Business Site,YES
fairwayz2.log.z2.tdn.hzl.ilx.com,10.179.3.134/26,LOG,10.179.3.128/26,10.179.3.191,HZL-COLO-MCE1-LOG2-1,1804,LOG,LOG,Business Silo,
fairwayz2.main.z2.tdn.hzl.ilx.com,10.181.192.24/23,MAIN,10.181.192.0/23,10.181.193.255,HZLP-93COLO-TDNH1-A-MAIN-1,2202,PROD,PROD,Business Site,YES
fairwayz2.out.z2.tdn.hzl.ilx.com,10.53.22.24/23,OUT,10.53.22.0/23,10.53.23.255,HZLP-93COLO-TDNH1-A-JUMBO-1,2201,PROD,PROD,Business Site,YES
fairwayz2.tpfun.z2.tdn.hzl.ilx.com,10.179.3.200/26,TPFUN,10.179.3.192/26,10.179.3.255,HZL-COLO-MCE1-TPFUN-1,1805,TPFUN,TPFUN,Business Site,
fitdbserverz2.hyper.z2.tdn.hzl.ilx.com,10.53.21.14/24,HYPER,10.53.21.0/24,10.53.21.255,HZLP-93COLO-TDNH1-A-HYPER-1,2200,HYPER,PRODHYPER,Business Site,YES
fringez2.a.arbi10.z2.tdn.hzl.ilx.com,10.179.4.229/27,A.ARBI10,10.179.4.224/27,10.179.4.255,HZL-COLO-MCE1-ARBI2-2,1703,ARBI10,ARBI10,Business Silo,
fringez2.filer.z2.tdn.hzl.ilx.com,10.181.194.17/24,FILER,10.181.194.0/24,10.181.194.255,HZLP-93COLO-TDNH1-A-STORAGE-1,2203,PROD,PROD,Business Site,YES
fringez2.gtdl.z2.tdn.hzl.ilx.com,10.179.3.14/26,GTDL,10.179.3.0/26,10.179.3.63,HZL-COLO-MCE1-GTDL-1,1802,GTDL,GTDL,Business Site,
fringez2.idcm.z2.tdn.hzl.ilx.com,10.179.0.26/23,IDCM,10.179.0.0/23,10.179.1.255,HZL-COLO-MCE1-IDCM-1,2209,PROD,PROD,Business Site,YES
fringez2.log.z2.tdn.hzl.ilx.com,10.179.3.135/26,LOG,10.179.3.128/26,10.179.3.191,HZL-COLO-MCE1-LOG2-1,1804,LOG,LOG,Business Silo,
fringez2.main.z2.tdn.hzl.ilx.com,10.181.192.26/23,MAIN,10.181.192.0/23,10.181.193.255,HZLP-93COLO-TDNH1-A-MAIN-1,2202,PROD,PROD,Business Site,YES
fringez2.out.z2.tdn.hzl.ilx.com,10.53.22.26/23,OUT,10.53.22.0/23,10.53.23.255,HZLP-93COLO-TDNH1-A-JUMBO-1,2201,PROD,PROD,Business Site,YES
fringez2.tpfun.z2.tdn.hzl.ilx.com,10.179.3.202/26,TPFUN,10.179.3.192/26,10.179.3.255,HZL-COLO-MCE1-TPFUN-1,1805,TPFUN,TPFUN,Business Site,
galaxyz2.a.livetkr.z2.tdn.hzl.ilx.com,10.179.4.68/27,A.LIVETKR,10.179.4.64/27,10.179.4.95,HZL-COLO-MCE1-LIVETKR1-1,1511,TKR,TKR,Business Site,
galaxyz2.a.sitetkr.z2.tdn.hzl.ilx.com,10.179.4.100/27,A.SITETKR,10.179.4.96/27,10.179.4.127,HZL-COLO-MCE1-UP4TKR1-2,1512,TKR,TKR,Business Site,
galaxyz2.b.livetkr.z2.tdn.hzl.ilx.com,10.179.4.132/27,B.LIVETKR,10.179.4.128/27,10.179.4.159,HZL-COLO-MCE1-LIVETKR2-1,1611,TKR,TKR,Business Site,
galaxyz2.b.sitetkr.z2.tdn.hzl.ilx.com,10.179.4.164/27,B.SITETKR,10.179.4.160/27,10.179.4.191,HZL-COLO-MCE1-UP4TKR2-2,1612,TKR,TKR,Business Site,
galaxyz2.filer.z2.tdn.hzl.ilx.com,10.181.194.19/24,FILER,10.181.194.0/24,10.181.194.255,HZLP-93COLO-TDNH1-A-STORAGE-1,2203,PROD,PROD,Business Site,YES
galaxyz2.idcm.z2.tdn.hzl.ilx.com,10.179.0.28/23,IDCM,10.179.0.0/23,10.179.1.255,HZL-COLO-MCE1-IDCM-1,2209,PROD,PROD,Business Site,YES
galaxyz2.main.z2.tdn.hzl.ilx.com,10.181.192.28/23,MAIN,10.181.192.0/23,10.181.193.255,HZLP-93COLO-TDNH1-A-MAIN-1,2202,PROD,PROD,Business Site,YES
galaxyz2.out.z2.tdn.hzl.ilx.com,10.53.22.28/23,OUT,10.53.22.0/23,10.53.23.255,HZLP-93COLO-TDNH1-A-JUMBO-1,2201,PROD,PROD,Business Site,YES
greenz2.a.arbi10.z2.tdn.hzl.ilx.com,10.179.4.230/27,A.ARBI10,10.179.4.224/27,10.179.4.255,HZL-COLO-MCE1-ARBI2-2,1703,ARBI10,ARBI10,Business Silo,
greenz2.filer.z2.tdn.hzl.ilx.com,10.181.194.21/24,FILER,10.181.194.0/24,10.181.194.255,HZLP-93COLO-TDNH1-A-STORAGE-1,2203,PROD,PROD,Business Site,YES
greenz2.gtdl.z2.tdn.hzl.ilx.com,10.179.3.16/26,GTDL,10.179.3.0/26,10.179.3.63,HZL-COLO-MCE1-GTDL-1,1802,GTDL,GTDL,Business Site,
greenz2.idcm.z2.tdn.hzl.ilx.com,10.179.0.30/23,IDCM,10.179.0.0/23,10.179.1.255,HZL-COLO-MCE1-IDCM-1,2209,PROD,PROD,Business Site,YES
greenz2.log.z2.tdn.hzl.ilx.com,10.179.3.136/26,LOG,10.179.3.128/26,10.179.3.191,HZL-COLO-MCE1-LOG2-1,1804,LOG,LOG,Business Silo,
greenz2.main.z2.tdn.hzl.ilx.com,10.181.192.30/23,MAIN,10.181.192.0/23,10.181.193.255,HZLP-93COLO-TDNH1-A-MAIN-1,2202,PROD,PROD,Business Site,YES
greenz2.out.z2.tdn.hzl.ilx.com,10.53.22.30/23,OUT,10.53.22.0/23,10.53.23.255,HZLP-93COLO-TDNH1-A-JUMBO-1,2201,PROD,PROD,Business Site,YES
greenz2.tpfun.z2.tdn.hzl.ilx.com,10.179.3.204/26,TPFUN,10.179.3.192/26,10.179.3.255,HZL-COLO-MCE1-TPFUN-1,1805,TPFUN,TPFUN,Business Site,
ilxftz2.idcm.z2.tdn.hzl.ilx.com,10.179.0.164/23,IDCM,10.179.0.0/23,10.179.1.255,HZL-COLO-MCE1-IDCM-1,2209,PROD,CHASSIS,Business Site,YES
ilxftz2.main.z2.tdn.hzl.ilx.com,10.181.192.164/23,MAIN,10.181.192.0/23,10.181.193.255,HZLP-93COLO-TDNH1-A-MAIN-1,2202,PROD,CHASSIS,Business Site,YES
ilxftz2.out.z2.tdn.hzl.ilx.com,10.53.22.160/23,OUT,10.53.22.0/23,10.53.23.255,HZLP-93COLO-TDNH1-A-JUMBO-1,2201,PROD,CHASSIS,Business Site,YES
incaserverz2.hyper.z2.tdn.hzl.ilx.com,10.53.21.16/24,HYPER,10.53.21.0/24,10.53.21.255,HZLP-93COLO-TDNH1-A-HYPER-1,2200,HYPER,PRODHYPER,Business Site,YES
itcfepcz2a.hyper.z2.tdn.hzl.ilx.com,10.53.21.19/24,HYPER,10.53.21.0/24,10.53.21.255,HZLP-93COLO-TDNH1-A-HYPER-1,2200,HYPER,PRODHYPER,Business Site,YES
itcfepcz2b.hyper.z2.tdn.hzl.ilx.com,10.53.21.20/24,HYPER,10.53.21.0/24,10.53.21.255,HZLP-93COLO-TDNH1-A-HYPER-1,2200,HYPER,PRODHYPER,Business Site,YES
jetsonz2.hyper.z2.tdn.hzl.ilx.com,10.53.21.22/24,HYPER,10.53.21.0/24,10.53.21.255,HZLP-93COLO-TDNH1-A-HYPER-1,2200,HYPER,WEBHYPER,Business Site,YES
marketz2.a.livetkr.z2.tdn.hzl.ilx.com,10.179.4.70/27,A.LIVETKR,10.179.4.64/27,10.179.4.95,HZL-COLO-MCE1-LIVETKR1-1,1511,TKR,TKR,Business Site,
marketz2.a.sitetkr.z2.tdn.hzl.ilx.com,10.179.4.102/27,A.SITETKR,10.179.4.96/27,10.179.4.127,HZL-COLO-MCE1-UP4TKR1-2,1512,TKR,TKR,Business Site,
marketz2.b.livetkr.z2.tdn.hzl.ilx.com,10.179.4.134/27,B.LIVETKR,10.179.4.128/27,10.179.4.159,HZL-COLO-MCE1-LIVETKR2-1,1611,TKR,TKR,Business Site,
marketz2.b.sitetkr.z2.tdn.hzl.ilx.com,10.179.4.166/27,B.SITETKR,10.179.4.160/27,10.179.4.191,HZL-COLO-MCE1-UP4TKR2-2,1612,TKR,TKR,Business Site,
marketz2.filer.z2.tdn.hzl.ilx.com,10.181.194.23/24,FILER,10.181.194.0/24,10.181.194.255,HZLP-93COLO-TDNH1-A-STORAGE-1,2203,PROD,PROD,Business Site,YES
marketz2.idcm.z2.tdn.hzl.ilx.com,10.179.0.33/23,IDCM,10.179.0.0/23,10.179.1.255,HZL-COLO-MCE1-IDCM-1,2209,PROD,PROD,Business Site,YES
marketz2.main.z2.tdn.hzl.ilx.com,10.181.192.33/23,MAIN,10.181.192.0/23,10.181.193.255,HZLP-93COLO-TDNH1-A-MAIN-1,2202,PROD,PROD,Business Site,YES
marketz2.out.z2.tdn.hzl.ilx.com,10.53.22.33/23,OUT,10.53.22.0/23,10.53.23.255,HZLP-93COLO-TDNH1-A-JUMBO-1,2201,PROD,PROD,Business Site,YES
mountainz2.filer.z2.tdn.hzl.ilx.com,10.181.194.25/24,FILER,10.181.194.0/24,10.181.194.255,HZLP-93COLO-TDNH1-A-STORAGE-1,2203,PROD,PROD,Business Site,YES
mountainz2.idcm.z2.tdn.hzl.ilx.com,10.179.0.35/23,IDCM,10.179.0.0/23,10.179.1.255,HZL-COLO-MCE1-IDCM-1,2209,PROD,PROD,Business Site,YES
