FQDN System Name,IP Address,Network,Network Range,Broadcast Address,VLAN,VLAN number,Physical System,Logical Net,Logical Interface,Network Scope,TOR switch used
fixedz2.b1.exch.z2.tdn.hzl.ilx.com,159.44.253.11/26,B1.EXCH,159.44.253.0/26,159.44.253.63,HZL-COLO-MCE1-EXCHANGEB-1,1601,dtpfepcz2a,EXCH,EXCH,Business Site,
fixedz2.b2.exch.z2.tdn.hzl.ilx.com,159.44.253.16/26,B2.EXCH,159.44.253.0/26,159.44.253.63,HZL-COLO-MCE1-EXCHANGEB-1,1601,dtpfepcz2a,EXCH,EXCH,Business Site,
fixedz2.feed.z2.tdn.hzl.ilx.com,10.179.2.8/25,FEED,10.179.2.0/25,10.179.2.127,HZL-COLO-MCE1-FEED-1,1800,dtpfepcz2a,FEED,FEED,Business Site,
fixedz2.fepc.z2.tdn.hzl.ilx.com,10.179.2.137/25,FEPC,10.179.2.128/25,10.179.2.255,HZL-COLO-MCE1-FEPC-1,1801,dtpfepcz2a,FEPC,FEPC,Business Site,
fixedz2.idcm.z2.tdn.hzl.ilx.com,10.179.0.85/23,IDCM,10.179.0.0/23,10.179.1.255,HZL-COLO-MCE1-IDCM-1,2209,dtpfepcz2a,PROD,PRODHYPER,Business Site,YES
fixedz2.main.z2.tdn.hzl.ilx.com,10.181.192.85/23,MAIN,10.181.192.0/23,10.181.193.255,HZLP-93COLO-TDNH1-A-MAIN-1,2202,dtpfepcz2a,PROD,PRODHYPER,Business Site,YES
fixedz2.out.z2.tdn.hzl.ilx.com,10.53.22.85/23,OUT,10.53.22.0/23,10.53.23.255,HZLP-93COLO-TDNH1-A-JUMBO-1,2201,dtpfepcz2a,PROD,PRODHYPER,Business Site,YES
fjordz2.ext.z2.tdn.hzl.ilx.com,10.53.24.9/24,EXT,10.53.24.0/24,10.53.24.255,HZLP-93COLO-MGTM1-A-JUMBO-1,2230,airstreamz2,EXT,EXTHYPER,Business Site,YES
ftbfz2.idcm.z2.tdn.hzl.ilx.com,10.179.0.87/23,IDCM,10.179.0.0/23,10.179.1.255,HZL-COLO-MCE1-IDCM-1,2209,tdngatez2,PROD,PRODPDNHYPER,Business Site,YES
ftbfz2.main.z2.tdn.hzl.ilx.com,10.181.192.87/23,MAIN,10.181.192.0/23,10.181.193.255,HZLP-93COLO-TDNH1-A-MAIN-1,2202,tdngatez2,PROD,PRODPDNHYPER,Business Site,YES
ftbfz2.out.z2.tdn.hzl.ilx.com,10.53.22.87/23,OUT,10.53.22.0/23,10.53.23.255,HZLP-93COLO-TDNH1-A-JUMBO-1,2201,tdngatez2,PROD,PRODPDNHYPER,Business Site,YES
fundjobz2.filer.z2.tdn.hzl.ilx.com,10.181.194.53/24,FILER,10.181.194.0/24,10.181.194.255,HZLP-93COLO-TDNH1-A-STORAGE-1,2203,tdneodz2,PROD,PRODHYPER,Business Site,YES
fundjobz2.idcm.z2.tdn.hzl.ilx.com,10.179.0.89/23,IDCM,10.179.0.0/23,10.179.1.255,HZL-COLO-MCE1-IDCM-1,2209,tdneodz2,PROD,PRODHYPER,Business Site,YES
fundjobz2.main.z2.tdn.hzl.ilx.com,10.181.192.89/23,MAIN,10.181.192.0/23,10.181.193.255,HZLP-93COLO-TDNH1-A-MAIN-1,2202,tdneodz2,PROD,PRODHYPER,Business Site,YES
fundjobz2.out.z2.tdn.hzl.ilx.com,10.53.22.89/23,OUT,10.53.22.0/23,10.53.23.255,HZLP-93COLO-TDNH1-A-JUMBO-1,2201,tdneodz2,PROD,PRODHYPER,Business Site,YES
gadgetz2.web.z2.tdn.hzl.ilx.com,10.53.20.18/24,WEB,10.53.20.0/24,10.53.20.255,HZLP-93COLO-TDNM1-A-JUMBO-1,2210,jetsonz2,WEB,WEBHYPER,Business Site,YES
gadgetz2.webfs.z2.tdn.hzl.ilx.com,10.181.195.17/24,WEBFS,10.181.195.0/24,10.181.195.255,HZLP-93COLO-TDNM1-A-WEBFS-1,2211,jetsonz2,WEB,WEBHYPER,Business Site,YES
