FQDN System Name,IP Address,Network,Network Range,Broadcast Address,VLAN,VLAN number,Physical System,Logical Net,Logical Interface,Network Scope,TOR switch used
dpfunq2.tpfun.q1.tdnqa.hzl.ilx.com,10.179.11.208/26,TPFUN,10.179.11.192/26,10.179.11.255,HZL-COLO-MCE2-TPFUN-1,1805,pfunq2,TPFUN,TPFUN,Business Site,
dsplitterq1.filer.q1.tdnqa.hzl.ilx.com,10.181.198.15/24,FILER,10.181.198.0/24,10.181.198.255,HZLS-93COLO-TDNH1-A-STORAGE-1,2503,splitterq1,PROD,PRODHYPER,Business Site,YES
dsplitterq1.idcm.q1.tdnqa.hzl.ilx.com,10.179.8.116/23,IDCM,10.179.8.0/23,10.179.9.255,HZL-COLO-MCE2-IDCM-1,2509,splitterq1,PROD,PRODHYPER,Business Site,YES
dsplitterq1.main.q1.tdnqa.hzl.ilx.com,10.181.196.116/23,MAIN,10.181.196.0/23,10.181.197.255,HZLS-93COLO-TDNH1-A-MAIN-1,2502,splitterq1,PROD,PRODHYPER,Business Site,YES
dsplitterq1.out.q1.tdnqa.hzl.ilx.com,10.53.30.116/23,OUT,10.53.30.0/23,10.53.31.255,HZLS-93COLO-TDNH1-A-JUMBO-1,2501,splitterq1,PROD,PRODHYPER,Business Site,YES
dsplitterq1.tpfun.q1.tdnqa.hzl.ilx.com,10.179.11.193/26,TPFUN,10.179.11.192/26,10.179.11.255,HZL-COLO-MCE2-TPFUN-1,1805,splitterq1,TPFUN,TPFUN,Business Site,
ecnq1.a1.exch.q1.tdnqa.hzl.ilx.com,159.44.249.71/26,A1.EXCH,159.44.249.64/26,159.44.249.127,HZL-COLO-MCE2-EXCHANGEA-1,1501,dtpfepcq1a,EXCH,EXCH,Business Site,
ecnq1.a2.exch.q1.tdnqa.hzl.ilx.com,159.44.249.72/26,A2.EXCH,159.44.249.64/26,159.44.249.127,HZL-COLO-MCE2-EXCHANGEA-1,1501,dtpfepcq1a,EXCH,EXCH,Business Site,
ecnq1.b1.exch.q1.tdnqa.hzl.ilx.com,159.44.253.71/26,B1.EXCH,159.44.253.64/26,159.44.253.127,HZL-COLO-MCE2-EXCHANGEB-1,1601,dtpfepcq1a,EXCH,EXCH,Business Site,
ecnq1.b2.exch.q1.tdnqa.hzl.ilx.com,159.44.253.72/26,B2.EXCH,159.44.253.64/26,159.44.253.127,HZL-COLO-MCE2-EXCHANGEB-1,1601,dtpfepcq1a,EXCH,EXCH,Business Site,
ecnq1.feed.q1.tdnqa.hzl.ilx.com,10.179.10.4/25,FEED,10.179.10.0/25,10.179.10.127,HZL-COLO-MCE2-FEED-1,1800,dtpfepcq1a,FEED,FEED,Business Site,
